,País,Categoria,Ano_Tipo,Valor,Ano,Tipo
0,Africa do Sul,Espumantes,1970_Peso,0.0,1970,Peso
1,Alemanha,Espumantes,1970_Peso,0.0,1970,Peso
2,Argentina,Espumantes,1970_Peso,4980.0,1970,Peso
3,Austrália,Espumantes,1970_Peso,0.0,1970,Peso
4,Austria,Espumantes,1970_Peso,0.0,1970,Peso
5,Bermudas,Espumantes,1970_Peso,0.0,1970,Peso
6,Bahamas,Espumantes,1970_Peso,0.0,1970,Peso
7,Bélgica,Espumantes,1970_Peso,0.0,1970,Peso
8,Brasil,Espumantes,1970_Peso,0.0,1970,Peso
9,Bulgaria,Espumantes,1970_Peso,0.0,1970,Peso
10,Canada,Espumantes,1970_Peso,0.0,1970,Peso
11,Chile,Espumantes,1970_Peso,0.0,1970,Peso
12,Croácia,Espumantes,1970_Peso,0.0,1970,Peso
13,Cuba,Espumantes,1970_Peso,0.0,1970,Peso
14,Emirados Arabes Unidos,Espumantes,1970_Peso,0.0,1970,Peso
15,Eslovênia,Espumantes,1970_Peso,0.0,1970,Peso
16,Espanha,Espumantes,1970_Peso,12981.0,1970,Peso
17,Estados Unidos,Espumantes,1970_Peso,0.0,1970,Peso
18,França,Espumantes,1970_Peso,18458.0,1970,Peso
19,Geórgia,Espumantes,1970_Peso,0.0,1970,Peso
20,Grecia,Espumantes,1970_Peso,0.0,1970,Peso
21,Hong Kong,Espumantes,1970_Peso,0.0,1970,Peso
22,Hungria,Espumantes,1970_Peso,0.0,1970,Peso
23,Indonesia,Espumantes,1970_Peso,0.0,1970,Peso
24,Irlanda,Espumantes,1970_Peso,0.0,1970,Peso
25,Israel,Espumantes,1970_Peso,0.0,1970,Peso
26,Itália,Espumantes,1970_Peso,0.0,1970,Peso
27,Luxemburgo,Espumantes,1970_Peso,0.0,1970,Peso
28,Mexico,Espumantes,1970_Peso,0.0,1970,Peso
29,Moldávia,Espumantes,1970_Peso,0.0,1970,Peso
30,Nova Zelândia,Espumantes,1970_Peso,0.0,1970,Peso
31,Paises Baixos,Espumantes,1970_Peso,0.0,1970,Peso
32,Panama,Espumantes,1970_Peso,0.0,1970,Peso
33,Peru,Espumantes,1970_Peso,0.0,1970,Peso
34,Portugal,Espumantes,1970_Peso,1603.0,1970,Peso
35,Reino Unido,Espumantes,1970_Peso,0.0,1970,Peso
36,Romenia,Espumantes,1970_Peso,0.0,1970,Peso
37,Suíça,Espumantes,1970_Peso,0.0,1970,Peso
38,Tunisia,Espumantes,1970_Peso,0.0,1970,Peso
39,Ucrânia,Espumantes,1970_Peso,0.0,1970,Peso
40,Uruguai,Espumantes,1970_Peso,0.0,1970,Peso
41,Não consta na tabela,Espumantes,1970_Peso,0.0,1970,Peso
42,Não declarados,Espumantes,1970_Peso,0.0,1970,Peso
43,Outros,Espumantes,1970_Peso,291.0,1970,Peso
44,Africa do Sul,Vinhos de mesa,1970_Peso,0.0,1970,Peso
45,Alemanha,Vinhos de mesa,1970_Peso,52297.0,1970,Peso
46,Argélia,Vinhos de mesa,1970_Peso,0.0,1970,Peso
47,Arábia Saudita,Vinhos de mesa,1970_Peso,0.0,1970,Peso
48,Argentina,Vinhos de mesa,1970_Peso,19525.0,1970,Peso
49,Armênia,Vinhos de mesa,1970_Peso,0.0,1970,Peso
50,Austrália,Vinhos de mesa,1970_Peso,0.0,1970,Peso
51,Áustria,Vinhos de mesa,1970_Peso,1328.0,1970,Peso
52,Bermudas,Vinhos de mesa,1970_Peso,0.0,1970,Peso
53,Bélgica,Vinhos de mesa,1970_Peso,0.0,1970,Peso
54,Bolívia,Vinhos de mesa,1970_Peso,0.0,1970,Peso
55,Bósnia-Herzegovina,Vinhos de mesa,1970_Peso,0.0,1970,Peso
56,Brasil,Vinhos de mesa,1970_Peso,0.0,1970,Peso
57,Bulgária,Vinhos de mesa,1970_Peso,0.0,1970,Peso
58,Canada,Vinhos de mesa,1970_Peso,0.0,1970,Peso
59,Chile,Vinhos de mesa,1970_Peso,162370.0,1970,Peso
60,China,Vinhos de mesa,1970_Peso,0.0,1970,Peso
61,"Coreia do Sul, República",Vinhos de mesa,1970_Peso,0.0,1970,Peso
62,Croácia,Vinhos de mesa,1970_Peso,0.0,1970,Peso
63,Emirados Árabes Unidos,Vinhos de mesa,1970_Peso,0.0,1970,Peso
64,Eslovênia,Vinhos de mesa,1970_Peso,0.0,1970,Peso
65,Eslováquia,Vinhos de mesa,1970_Peso,0.0,1970,Peso
66,Espanha,Vinhos de mesa,1970_Peso,261126.0,1970,Peso
67,Estados Unidos,Vinhos de mesa,1970_Peso,0.0,1970,Peso
68,França,Vinhos de mesa,1970_Peso,91544.0,1970,Peso
69,Geórgia,Vinhos de mesa,1970_Peso,0.0,1970,Peso
